,grammar,content,count
122,提问的方法,用“好吗、可以吗、行吗、怎么样”提问,0
123,提问的方法,用“什么时候、什么样、为什么、怎么样、怎样”提问,0
124,提问的方法,用“呢”构成的省略式疑问句“代词/名词+呢？ ”提问,0
125,提问的方法,"用“是不是""提问",0
126,提问的方法,用“吧”提问,0
127,提问的方法,用“吧”提问,0
128,口语格式,该……了,241
129,口语格式,要/快要/就要……了,0
130,语素前缀,第-、老-、小-,0
131,语素后缀,-儿、-家、-们、-头、-子,0
132,词类动词能愿动词,敢,0
133,词类动词能愿动词,需要,0
134,词类动词动宾式离合词,帮忙、点头、放假、干杯、见面、结婚、看病、睡觉、洗澡、理发、说话,64
135,词类动词动补式离合词,打开、看见、离开、完成,92
136,词类代词疑问代词的非疑问用法,疑问代词+都、疑问代词+疑问代词、不定指用法,0
137,词类代词指示代词,各、各位、各种、每、任何,0
138,词类代词名量词,把、行、架、群、束、双、台、张、支、只、种,332
139,词类代词动量词,顿、口、眼,3
140,词类代词量词重叠,AA,0
141,词类副词程度副词,比较、更加、还、相当,0
142,词类副词范围、协同副词,光、仅、仅仅、就、至少,0
143,词类副词时间副词,本来、才、曾经、从来、赶紧、赶快、立刻、连忙、始终、已、早已,0
144,词类副词频率、重复副词,通常、往往、总、总是,0
145,词类副词关联副词,再,0
146,词类副词方式副词,互相、尽量、亲自、相互,0
147,词类副词情态副词,大概、恐怕,0
148,词类副词语气副词,白、并、当然、到底、反正、根本、果然、简直、绝对、难道、其实、千万、确 实、只好、终于,0
149,词类介词引出时间、处所,由,0
150,词类介词引出时间、处所,自从,0
151,词类介词引出方向、路径,朝,0
152,词类介词引出对象,为,0
153,词类介词引出对象,向,0
154,词类介词引出目的、原因,由于、因为,0
155,词类介词引出目的、原因,为了,0
156,词类介词引出施事、受事,把、被、叫、让,733
157,词类介词表示排除,除了,22
158,词类介词引出凭借、依据,按、按照,99
159,词类连词连接分句或句子,并且、不光、不仅、另外、要是、因此、由于、只有,772
160,词类拟声词,哈哈,0
161,短语结构类型其他结构类型,介宾短语、方位短语、兼语短语、同位短语,0
162,短语结构类型数量重叠,数词+量词+数词+量词,0
163,短语固定短语四字格,不A不B,66
164,短语固定短语其他,看起来,0
165,短语固定短语其他,看上去,0
166,短语固定短语其他,有的是,0
167,固定格式,除了……（以外），……还/也/都……,0
168,固定格式,从……起,0
169,固定格式,对……来说,0
170,固定格式,一……也/都+不/没……,0
171,固定格式,越……越……,0
172,句子成分主语,动词或动词性短语、形容词或形容词性短语作主语,0
173,句子成分宾语,动词或动词性短语、形容词或形容词性短语和主谓短语作宾语,0
174,句子成分定词,动词或动词性短语、主谓短语作定语,0
175,句子成分补语结果补语,动词+到/住/走,0
176,句子成分补语趋向补语,"动词+出来/出去/过来/过去/回来/回去/进来/进去/起
来/上来/上去/下来/下去",0
